STATE,DISTRICT,BLOCK,70-90 mts,90-110 mts,110-130 mts,130-150 mts,GREATER THAN 150 mts,TOTAL
ANDAMAN & NICOBARS,ANDAMAN,FERRARGUNJ,2,0,0,0,0,2
ANDAMAN & NICOBARS,N & M ANDA,RANGAT,1,0,0,0,0,1
ANDHRA PRADESH,ADILABAD,ADILABAD,6,0,0,0,0,6
ANDHRA PRADESH,ADILABAD,ASIFABAD,7,0,0,0,0,7
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,9,0,0,0,0,9
ANDHRA PRADESH,ADILABAD,BOATH,30,0,0,0,0,30
ANDHRA PRADESH,ADILABAD,CHENNUR,80,2,3,0,0,85
ANDHRA PRADESH,ADILABAD,DILAWARPUR,69,0,0,0,0,69
ANDHRA PRADESH,ADILABAD,ICHODA,292,0,0,0,0,292
ANDHRA PRADESH,ADILABAD,JAINAD,19,0,0,0,0,19
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,25,0,0,0,0,25
ANDHRA PRADESH,ADILABAD,KASIPET,9,0,0,0,0,9
ANDHRA PRADESH,ADILABAD,KOTAPALLE,17,14,3,2,10,46
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,107,0,0,0,0,107
ANDHRA PRADESH,ADILABAD,MAMDA,38,0,0,0,0,38
ANDHRA PRADESH,ADILABAD,MANCHERIAL,1,0,0,0,0,1
ANDHRA PRADESH,ADILABAD,NERADIGONDA,80,0,0,0,0,80
ANDHRA PRADESH,ADILABAD,SARANGAPUR,3,0,0,0,0,3
ANDHRA PRADESH,ADILABAD,SIRPUR (T),1,0,0,0,0,1
ANDHRA PRADESH,ADILABAD,SIRPUR (U),1,0,0,0,0,1
ANDHRA PRADESH,ADILABAD,TIRYANI,14,0,0,0,0,14
ANDHRA PRADESH,ADILABAD,VEMANPALLE,1,0,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,AGALI,111,301,122,91,224,849
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,240,350,160,67,35,852
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,10,0,8,0,65,83
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,38,0,0,0,0,38
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,44,6,0,0,0,50
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,24,0,0,0,0,24
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,43,0,0,0,0,43
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,69,20,4,0,0,93
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,67,1,0,0,0,68
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,309,14,0,0,0,323
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,77,151,65,9,19,321
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,1597,3,0,0,0,1600
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,176,34,4,1,0,215
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,40,56,41,0,1,138
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,112,1,0,0,0,113
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,37,76,35,37,133,318
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,1310,29,0,0,0,1339
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,66,0,0,0,0,66
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,246,0,0,0,0,246
ANDHRA PRADESH,ANANTHAPUR,KADIRI,173,113,1,0,0,287
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,117,6,0,0,0,123
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,203,99,4,0,0,306
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,238,0,0,0,0,238
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,60,0,0,0,0,60
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,136,15,1,0,0,152
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,172,67,0,0,0,239
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,96,85,0,0,0,181
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,0,113,162,71,131,477
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,3,5,4,0,0,12
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,3,0,0,0,0,3
ANDHRA PRADESH,ANANTHAPUR,PARIGI,9,41,53,17,572,692
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,124,0,0,0,0,124
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,166,55,0,0,0,221
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,67,25,1,2,0,95
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,1532,495,190,2,6,2225
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,262,187,26,0,0,475
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,308,26,2,0,0,336
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,753,42,0,0,0,795
ANDHRA PRADESH,ANANTHAPUR,RODDAM,714,216,46,0,1,977
ANDHRA PRADESH,ANANTHAPUR,ROLLA,31,53,214,132,224,654
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,231,190,12,1,2,436
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,354,297,133,27,11,822
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,291,13,0,0,0,304
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,503,6,0,0,0,509
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,433,218,9,1,1,662
ANDHRA PRADESH,ANANTHAPUR,YADIKI,1432,123,24,6,2,1587
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,131,417,350,181,89,1168
